Variável;(Intercept)_OR;region2_OR;region3_OR;region4_OR;region5_OR;pop10_OR;thr_temp_Spring_OR;biomaamazonia_OR;biomacaatinga_OR;biomacerrado_OR;biomapampa_OR;biomapantanal_OR;koppenAf_OR;koppenAm_OR;koppenAs_OR;koppenBSh_OR;koppenCfa_OR;koppenCfb_OR;koppenCwa_OR;koppenCwb_OR;umid_med_Summer_OR;thr_prec_Spring_OR;thr_temp_Summer_OR;umid_med_Spring_OR;thr_umid_Spring_OR;precip_tot_Summer_OR;altitude_OR;temp_med_Winter_OR;tipo_regiaometropolitana_OR;(Intercept)_IC95;region2_IC95;region3_IC95;region4_IC95;region5_IC95;pop10_IC95;thr_temp_Spring_IC95;biomaamazonia_IC95;biomacaatinga_IC95;biomacerrado_IC95;biomapampa_IC95;biomapantanal_IC95;koppenAf_IC95;koppenAm_IC95;koppenAs_IC95;koppenBSh_IC95;koppenCfa_IC95;koppenCfb_IC95;koppenCwa_IC95;koppenCwb_IC95;umid_med_Summer_IC95;thr_prec_Spring_IC95;thr_temp_Summer_IC95;umid_med_Spring_IC95;thr_umid_Spring_IC95;precip_tot_Summer_IC95;altitude_IC95;temp_med_Winter_IC95;tipo_regiaometropolitana_IC95;(Intercept)_p_valor;region2_p_valor;region3_p_valor;region4_p_valor;region5_p_valor;pop10_p_valor;thr_temp_Spring_p_valor;biomaamazonia_p_valor;biomacaatinga_p_valor;biomacerrado_p_valor;biomapampa_p_valor;biomapantanal_p_valor;koppenAf_p_valor;koppenAm_p_valor;koppenAs_p_valor;koppenBSh_p_valor;koppenCfa_p_valor;koppenCfb_p_valor;koppenCwa_p_valor;koppenCwb_p_valor;umid_med_Summer_p_valor;thr_prec_Spring_p_valor;thr_temp_Summer_p_valor;umid_med_Spring_p_valor;thr_umid_Spring_p_valor;precip_tot_Summer_p_valor;altitude_p_valor;temp_med_Winter_p_valor;tipo_regiaometropolitana_p_valor
koppenAm_OR;1.66;0.71;0.43;71.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenAs_OR;1.39;1.25;1.13;13.70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenBSh_OR;3.10;0.87;0.41;4.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenCfa_OR;4.31;0.19;0.01;22.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenCfb_OR;0.55;0.42;0.01;179.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenCwa_OR;1.60;0.82;0.39;1.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenCwb_OR;3.60;0.51;0.08;1400.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
umid_med_Summer_OR;1.06;0.92;0.88;3.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thr_prec_Spring_OR;1.00;1.01;1.01;1.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thr_temp_Summer_OR;1.30;1.11;1.11;1.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
umid_med_Spring_OR;1.12;0.92;0.73;0.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thr_umid_Spring_OR;0.99;1.03;1.09;1.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
precip_tot_Summer_OR;1.00;1.00;1.00;1.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
altitude_OR;1.00;1.00;1.00;0.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
temp_med_Winter_OR;1.40;0.89;0.68;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tipo_regiaometropolitana_OR;0.88;0.81;0.66;4542.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(Intercept)_IC95;[0.00 - 0.00];[22026.30 - 22026.63];[22026.09 - 22026.84];[68.74 - 68.74];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
region2_IC95;[0.09 - 0.09];[5.54 - 5.54];[2.20 - 2.20];[9.09 - 9.09];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
region3_IC95;[1.50 - 1.50];[0.32 - 0.32];[0.08 - 0.08];[63.87 - 63.88];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
region4_IC95;[1.11 - 1.11];[0.89 - 0.89];[2.14 - 2.14];[0.00 - 0.00];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
region5_IC95;[1.21 - 1.21];[0.30 - 0.30];[0.23 - 0.23];[0.35 - 0.35];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pop10_IC95;[1.00 - 1.00];[1.00 - 1.00];[1.00 - 1.00];[1.00 - 1.00];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thr_temp_Spring_IC95;[1.12 - 1.13];[0.85 - 0.85];[0.78 - 0.78];[1.29 - 1.29];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
biomaamazonia_IC95;[0.05 - 0.05];[10.20 - 10.20];[82.43 - 82.43];[3806.06 - 3806.08];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
biomacaatinga_IC95;[2.05 - 2.05];[0.50 - 0.50];[0.95 - 0.95];[13117.93 - 13117.94];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
biomacerrado_IC95;[0.32 - 0.32];[2.81 - 2.81];[2.70 - 2.70];[0.47 - 0.47];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
biomapampa_IC95;[0.00 - 0.00];[9.34 - 9.34];[9.48 - 9.48];[0.00 - 0.00];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
biomapantanal_IC95;[0.11 - 0.11];[5.54 - 5.54];[0.02 - 0.02];[0.01 - 0.01];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenAf_IC95;[1.61 - 1.61];[2.89 - 2.89];[19.54 - 19.54];[4.18 - 4.18];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenAm_IC95;[1.66 - 1.66];[0.71 - 0.71];[0.43 - 0.43];[71.82 - 71.82];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenAs_IC95;[1.39 - 1.39];[1.25 - 1.25];[1.13 - 1.13];[13.70 - 13.70];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenBSh_IC95;[3.10 - 3.10];[0.87 - 0.87];[0.41 - 0.41];[4.86 - 4.86];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenCfa_IC95;[4.31 - 4.31];[0.19 - 0.19];[0.01 - 0.01];[22.37 - 22.37];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenCfb_IC95;[0.55 - 0.55];[0.42 - 0.42];[0.01 - 0.01];[179.36 - 179.36];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenCwa_IC95;[1.60 - 1.60];[0.82 - 0.82];[0.39 - 0.39];[1.42 - 1.42];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
koppenCwb_IC95;[3.60 - 3.60];[0.51 - 0.51];[0.08 - 0.08];[1400.04 - 1400.04];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
umid_med_Summer_IC95;[1.06 - 1.06];[0.92 - 0.92];[0.88 - 0.89];[3.45 - 3.45];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thr_prec_Spring_IC95;[1.00 - 1.00];[1.01 - 1.01];[1.01 - 1.01];[1.84 - 1.84];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thr_temp_Summer_IC95;[1.30 - 1.30];[1.11 - 1.11];[1.10 - 1.11];[1.36 - 1.36];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
umid_med_Spring_IC95;[1.12 - 1.12];[0.92 - 0.92];[0.72 - 0.73];[0.10 - 0.10];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thr_umid_Spring_IC95;[0.99 - 0.99];[1.03 - 1.03];[1.09 - 1.09];[1.44 - 1.44];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
precip_tot_Summer_IC95;[1.00 - 1.00];[1.00 - 1.00];[1.00 - 1.00];[0.99 - 1.00];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
altitude_IC95;[1.00 - 1.00];[1.00 - 1.00];[1.00 - 1.00];[0.99 - 0.99];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
temp_med_Winter_IC95;[1.40 - 1.40];[0.89 - 0.89];[0.68 - 0.68];[0.13 - 0.13];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tipo_regiaometropolitana_IC95;[0.88 - 0.88];[0.81 - 0.81];[0.66 - 0.66];[4542.66 - 4542.66];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(Intercept)_p_valor;<0.001;<0.001;<0.001;<0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
region2_p_valor;<0.001;<0.001;<0.001;<0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
region3_p_valor;<0.001;<0.001;<0.001;<0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
region4_p_valor;<0.001;<0.001;<0.001;<0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
region5_p_valor;<0.001;<0.001;<0.001;<0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pop10_p_valor;<0.001;<0.001;<0.001;<0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thr_temp_Spring_p_valor;<0.001;<0.001;<0.001;<0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
biomaamazonia_p_valor;<0.001;<0.001;<0.001;<0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
biomacaatinga_p_valor;<0.001;<0.001;<0.001;<0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
biomacerrado_p_valor;<0.001;<0.001;<0.001;<0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
